Date,Close,Volume
2019/01/02,8.81,1541
2019/01/03,8.8,1397
2019/01/04,8.6,2274
2019/01/07,8.7,1045
2019/01/08,8.8,1298
2019/01/09,8.87,1529
2019/01/10,8.86,1228
2019/01/11,8.87,1654
2019/01/14,8.68,1476
2019/01/15,8.75,1388
2019/01/16,8.75,1301
2019/01/17,8.75,799
2019/01/18,8.81,1088
2019/01/21,8.88,1628
2019/01/22,8.89,894
2019/01/23,8.89,854
2019/01/24,8.95,1244
2019/01/25,8.96,1230
2019/01/28,8.99,1341
2019/01/29,8.98,1185
2019/01/30,8.94,1528
2019/02/11,8.81,1509
2019/02/12,8.86,815
2019/02/13,8.83,870
2019/02/14,8.82,976
2019/02/15,8.82,1018
2019/02/18,8.86,1319
2019/02/19,8.86,841
2019/02/20,8.85,878
2019/02/21,8.95,1983
2019/02/22,8.95,5003
2019/02/25,9.12,4410
2019/02/26,9.19,3780
2019/02/27,9.23,3951
2019/03/04,9.24,2086
2019/03/05,9.15,2058
2019/03/06,9.1,1268
2019/03/07,8.99,1117
2019/03/08,8.96,756
2019/03/11,8.97,824
2019/03/12,8.98,2084
2019/03/13,8.92,873
2019/03/14,8.87,1613
2019/03/15,8.8,2129
2019/03/18,8.82,1910
2019/03/19,8.82,1573
2019/03/20,8.83,1966
2019/03/21,8.83,1313
2019/03/22,8.84,1526
2019/03/25,8.66,2097
2019/03/26,8.63,1866
2019/03/27,8.58,1600
2019/03/28,8.61,1169
2019/03/29,8.65,1861
2019/04/01,8.6,1494
2019/04/02,8.61,1966
2019/04/03,8.64,2500
2019/04/08,8.7,1577
2019/04/09,8.68,1660
2019/04/10,8.68,1119
2019/04/11,8.75,1842
2019/04/12,8.73,1813
2019/04/15,8.83,3043
2019/04/16,8.82,1728
2019/04/17,8.9,3279
2019/04/18,8.81,2083
2019/04/19,8.89,2107
2019/04/22,8.93,3564
2019/04/23,8.9,1003
2019/04/24,8.81,1257
2019/04/25,8.84,1341
2019/04/26,8.79,859
2019/04/29,8.73,1251
2019/04/30,8.77,1150
2019/05/02,8.87,1183
2019/05/03,8.9,1583
2019/05/06,8.74,1650
2019/05/07,8.7,2293
2019/05/08,8.64,1270
2019/05/09,8.52,1383
2019/05/10,8.48,1107
2019/05/13,8.4,1182
2019/05/14,8.3,1289
2019/05/15,8.3,1527
2019/05/16,8.12,3293
2019/05/17,7.96,5144
2019/05/20,7.97,1140
2019/05/21,8.2,2515
2019/05/22,8.2,817
2019/05/23,8.06,911
2019/05/24,8.04,949
2019/05/27,8.01,907
2019/05/28,8.06,955
2019/05/29,8.01,673
2019/05/30,8.01,1303
2019/05/31,8.13,1356
2019/06/03,8.03,877
2019/06/04,8.0,710
2019/06/05,8.0,860
2019/06/06,7.97,1004
2019/06/10,7.97,776
2019/06/11,8.0,1277
2019/06/12,7.99,815
2019/06/13,7.98,866
2019/06/14,8.09,2767
2019/06/17,8.08,1569
2019/06/18,8.11,1815
2019/06/19,8.17,1987
2019/06/20,8.25,1582
2019/06/21,8.15,1458
2019/06/24,8.21,1204
2019/06/25,8.15,437
2019/06/26,8.15,704
2019/06/27,8.14,1588
2019/06/28,8.16,1094
2019/07/01,8.16,2357
2019/07/02,8.2,2126
2019/07/03,8.17,964
2019/07/04,8.54,7902
2019/07/05,8.51,5705
2019/07/08,8.45,2347
2019/07/09,8.4,844
2019/07/10,8.45,1500
2019/07/11,8.72,4675
2019/07/12,8.7,2281
2019/07/15,8.68,2002
2019/07/16,8.89,6454
2019/07/17,9.0,6183
2019/07/18,9.01,7826
2019/07/19,9.09,9060
2019/07/22,9.16,9586
2019/07/23,8.98,5574
2019/07/24,8.9,3689
2019/07/25,8.98,2989
2019/07/26,8.94,2264
2019/07/29,8.88,1657
2019/07/30,8.86,2164
2019/07/31,8.73,2242
2019/08/01,8.69,1715
2019/08/02,8.48,2263
2019/08/05,8.35,1885
2019/08/06,8.37,1367
2019/08/07,8.37,1249
2019/08/08,8.45,812
2019/08/12,8.43,857
2019/08/13,8.17,2957
2019/08/14,8.05,3734
2019/08/15,7.9,3144
