Date,Close,Volume
2019/1/2,86.2,40
2019/1/3,85.9,37
2019/1/4,85.2,22
2019/1/7,86.3,43
2019/1/8,86.1,16
2019/1/9,87.0,117
2019/1/10,86.7,48
2019/1/11,87.0,45
2019/1/14,86.4,35
2019/1/15,86.3,22
2019/1/16,86.1,47
2019/1/17,86.1,28
2019/1/18,87.5,60
2019/1/21,89.5,201
2019/1/22,88.3,63
2019/1/23,88.1,43
2019/1/24,87.4,81
2019/1/25,88.3,60
2019/1/28,88.0,60
2019/1/29,87.3,66
2019/1/30,87.3,84
2019/2/11,84.8,335
2019/2/12,85.0,140
2019/2/13,85.7,137
2019/2/14,85.7,54
2019/2/15,86.4,90
2019/2/18,87.5,129
2019/2/19,87.9,108
2019/2/20,87.7,59
2019/2/21,88.0,86
2019/2/22,88.0,73
2019/2/25,89.0,187
2019/2/26,88.5,127
2019/2/27,88.3,44
2019/3/4,88.4,66
2019/3/5,87.6,45
2019/3/6,87.8,81
2019/3/7,87.5,54
2019/3/8,87.1,56
2019/3/11,87.4,46
2019/3/12,88.0,67
2019/3/13,88.1,50
2019/3/14,87.9,65
2019/3/15,88.2,82
2019/3/18,88.3,43
2019/3/19,88.5,136
2019/3/20,90.0,179
2019/3/21,91.6,369
2019/3/22,91.7,327
2019/3/25,90.6,135
2019/3/26,89.1,242
2019/3/27,88.4,123
2019/3/28,87.7,164
2019/3/29,88.0,90
2019/4/1,88.0,124
2019/4/2,88.1,105
2019/4/3,87.5,153
2019/4/8,87.1,172
2019/4/9,87.5,165
2019/4/10,87.0,142
2019/4/11,86.5,177
2019/4/12,86.5,140
2019/4/15,87.4,109
2019/4/16,87.2,89
2019/4/17,87.0,94
2019/4/18,87.1,184
2019/4/19,87.5,86
2019/4/22,87.2,77
2019/4/23,87.2,66
2019/4/24,87.1,53
2019/4/25,87.1,43
2019/4/26,86.7,56
2019/4/29,86.0,108
2019/4/30,85.6,91
2019/5/2,85.9,71
2019/5/3,86.4,17
2019/5/6,85.3,135
2019/5/7,85.2,144
2019/5/8,87.2,378
2019/5/9,85.7,178
2019/5/10,85.6,75
2019/5/13,85.4,163
2019/5/14,85.3,82
2019/5/15,85.9,37
2019/5/16,85.8,33
2019/5/17,85.0,90
2019/5/20,85.1,41
2019/5/21,85.4,52
2019/5/22,85.3,15
2019/5/23,85.2,35
2019/5/24,85.2,54
2019/5/27,86.0,105
2019/5/28,86.3,59
2019/5/29,86.1,81
2019/5/30,85.7,67
2019/5/31,85.8,70
2019/6/3,85.4,65
2019/6/4,84.6,248
2019/6/5,84.3,142
2019/6/6,84.5,112
2019/6/10,84.5,110
2019/6/11,84.8,70
2019/6/12,84.6,73
2019/6/13,84.3,94
2019/6/14,84.2,76
2019/6/17,85.5,171
2019/6/18,85.2,47
2019/6/19,85.4,66
2019/6/20,86.1,142
2019/6/21,85.6,100
2019/6/24,85.4,116
2019/6/25,85.6,78
2019/6/26,85.7,66
2019/6/27,85.7,138
2019/6/28,85.5,188
2019/7/1,83.2,233
2019/7/2,83.3,111
2019/7/3,82.9,74
2019/7/4,83.0,95
2019/7/5,83.6,49
2019/7/8,83.5,40
2019/7/9,83.0,44
2019/7/10,83.1,48
2019/7/11,83.0,90
2019/7/12,82.7,85
2019/7/15,83.5,80
2019/7/16,83.0,114
2019/7/17,83.1,97
2019/7/18,83.6,96
2019/7/19,83.9,76
2019/7/22,84.3,83
2019/7/23,84.4,73
2019/7/24,83.7,79
2019/7/25,84.2,87
2019/7/26,84.0,52
2019/7/29,84.1,43
2019/7/30,83.5,53
2019/7/31,83.3,23
2019/8/1,82.5,261
2019/8/2,82.2,73
2019/8/5,82.0,118
2019/8/6,81.9,96
2019/8/7,81.2,46
2019/8/8,81.8,32
2019/8/12,81.1,41
2019/8/13,79.5,216
2019/8/14,79.5,64
2019/8/15,79.4,59
2019/8/16,79.2,52
2019/8/19,79.3,29
2019/8/20,79.1,71
2019/8/21,78.5,53
2019/8/22,78.1,49
2019/8/23,77.1,149
2019/8/26,76.5,82
2019/8/27,76.4,67
2019/8/28,76.8,49
2019/8/29,76.7,11
2019/8/30,77.5,49
2019/9/2,78.0,33
2019/9/3,78.1,57
2019/9/4,78.2,40
2019/9/5,77.9,51
2019/9/6,77.7,78
2019/9/9,77.4,45
2019/9/10,77.7,11
2019/9/11,77.7,22
2019/9/12,77.6,42
2019/9/16,77.1,73
2019/9/17,77.2,18
2019/9/18,77.7,34
2019/9/19,77.3,29
2019/9/20,77.3,21
2019/9/23,77.3,32
2019/9/24,77.3,38
2019/9/25,77.3,29
2019/9/26,77.1,52
2019/9/27,76.0,114
2019/10/1,75.2,138
2019/10/2,74.8,115
2019/10/3,75.2,52
2019/10/4,74.9,42
2019/10/7,75.3,51
2019/10/8,75.8,51
