Date,Close,Volume
2019/01/02,219.5,32900
2019/01/03,215.5,34615
2019/01/04,208.0,67043
2019/01/07,213.0,35695
2019/01/08,211.0,23794
2019/01/09,215.5,51255
2019/01/10,216.0,20832
2019/01/11,220.5,28658
2019/01/14,218.5,17612
2019/01/15,221.0,42990
2019/01/16,217.5,30038
2019/01/17,220.5,21163
2019/01/18,218.5,52677
2019/01/21,221.0,32515
2019/01/22,223.0,30958
2019/01/23,220.5,18671
2019/01/24,222.5,31348
2019/01/25,226.0,48039
2019/01/28,229.0,29134
2019/01/29,222.5,42566
2019/01/30,221.0,51889
2019/02/11,228.0,81360
2019/02/12,230.0,30125
2019/02/13,229.0,28634
2019/02/14,227.0,23647
2019/02/15,227.0,22369
2019/02/18,230.0,18163
2019/02/19,229.0,18423
2019/02/20,234.5,31887
2019/02/21,236.5,34013
2019/02/22,236.5,22032
2019/02/25,238.0,25227
2019/02/26,239.5,24586
2019/02/27,239.0,37947
2019/03/04,235.5,45164
2019/03/05,233.0,23708
2019/03/06,234.0,20811
2019/03/07,234.0,17226
2019/03/08,230.0,22535
2019/03/11,230.5,34282
2019/03/12,235.5,23839
2019/03/13,237.0,22493
2019/03/14,234.5,17281
2019/03/15,239.0,34542
2019/03/18,241.0,27040
2019/03/19,240.5,14620
2019/03/20,242.0,23055
2019/03/21,245.5,27514
2019/03/22,248.5,22996
2019/03/25,241.5,19273
2019/03/26,244.0,21053
2019/03/27,241.5,23622
2019/03/28,242.0,13998
2019/03/29,245.5,31024
2019/04/01,245.5,35330
2019/04/02,246.0,25189
2019/04/03,246.5,28581
2019/04/08,253.0,46426
2019/04/09,254.0,22745
2019/04/10,254.0,33174
2019/04/11,252.0,25146
2019/04/12,252.0,13888
2019/04/15,255.5,17257
2019/04/16,257.0,20231
2019/04/17,261.5,39037
2019/04/18,264.5,48525
2019/04/19,264.5,47698
2019/04/22,266.0,24967
2019/04/23,268.0,26251
2019/04/24,269.0,37386
2019/04/25,267.5,36572
2019/04/26,260.0,51743
2019/04/29,259.5,32651
2019/04/30,259.0,40446
2019/05/02,259.0,27376
2019/05/03,265.0,30200
2019/05/06,259.0,33688
2019/05/07,262.5,25686
2019/05/08,260.0,25902
2019/05/09,256.5,34166
2019/05/10,256.0,18868
2019/05/13,250.5,29317
2019/05/14,248.5,45620
2019/05/15,249.0,37223
2019/05/16,247.0,30331
2019/05/17,241.5,40006
2019/05/20,238.0,47097
2019/05/21,234.0,82872
2019/05/22,238.0,36289
2019/05/23,230.0,62258
